codigo do orgao ;nome do orgao 
20000;Presidencia da republica
22000;Ministerio da agricultura e pecuaria 
24000;Ministerio ciencia, tecnologia e inovacao 
25000;Ministerioo da Fazenda
26000;Ministerio da Educacao
30000;Ministerio da Justica e seguranca publica
32000;Ministerio de Minas e Energia
35000;Ministerio das Relacoes Exteriores
36000;Ministerio da Saude
39000;Ministerio dos Transportes
40000;Ministerio do Trabalho e Emprego
44000;Ministerio do Meio Ambiente e Mudanca do Clima
51000;Ministerio do Esporte
52000;Ministerio da Defesa
53000;Ministerio da Integracao e do Desenvolvimento Regional
55000;Ministerio do Desenvolvimento e Assistencia Social, Familia e Combate a Fome
56000;Ministerio da Gestao e da Inovacao em Servicos Publicos
35000;Ministerio das relacoes exteriores 
25201;Banco Central do Brasil - Orcamento Fiscal 
46000;Ministerio da Gestao e da Inovacao em Ser
33000;Ministerio da Previdencia Social
42000;Ministerio da Cultura
